OCR_System,Documents,Words,Total_Errors,Long_S_Errors,Long_S_Pct,Artifact_Errors,Artifact_Pct,Deletions,Deletions_Pct,Other_Substitutions,Other_Subs_Pct
OlmOCRv2,12,5499,1119,69,6.2,381,34.0,454,40.6,173,15.5
OlmOCRv1,12,5499,1088,71,6.5,242,22.2,529,48.6,186,17.1
Tesseract,12,5499,11519,506,4.4,4073,35.4,4589,39.8,1018,8.8
EasyOCR,12,5499,28296,282,1.0,9981,35.3,14275,50.4,1154,4.1
Kraken,12,5499,3315,36,1.1,1274,38.4,652,19.7,763,23.0
MinerU,12,5499,5280,455,8.6,2435,46.1,1404,26.6,443,8.4
DeepSeek,12,5499,4889,533,10.9,1144,23.4,2571,52.6,341,7.0
Gemini,12,5499,1780,5,0.3,408,22.9,262,14.7,803,45.1
Transkribus,12,5499,8593,5,0.1,3503,40.8,3955,46.0,110,1.3
Chandra-Home,12,5499,1107,29,2.6,341,30.8,455,41.1,184,16.6
