OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score
OlmOCRv2,1600-1624,5,0.09,0.10,0.03,0.17,0.16,0.05,0,0,0
MinerU,1600-1624,5,0.16,0.14,0.07,0.35,0.34,0.09,0,0,0
OlmOCRv1,1600-1624,5,0.17,0.09,0.17,0.26,0.19,0.16,0,0,0
Kraken,1600-1624,5,0.19,0.13,0.20,0.36,0.33,0.23,0,0,0
DeepSeek,1600-1624,5,0.23,0.14,0.24,0.38,0.30,0.20,0,0,0
Tesseract,1600-1624,5,0.29,0.25,0.23,0.59,0.60,0.23,0,0,0
EasyOCR,1600-1624,5,0.58,0.73,0.22,0.86,0.95,0.15,0,0,0
OlmOCRv1,1625-1649,5,0.08,0.07,0.03,0.14,0.15,0.05,0,0,0
OlmOCRv2,1625-1649,5,0.08,0.07,0.04,0.15,0.14,0.07,0,0,0
MinerU,1625-1649,5,0.13,0.11,0.05,0.35,0.39,0.12,0,0,0
DeepSeek,1625-1649,5,0.18,0.14,0.12,0.35,0.37,0.14,0,0,0
Kraken,1625-1649,5,0.20,0.16,0.19,0.31,0.25,0.21,0,0,0
Tesseract,1625-1649,5,0.30,0.24,0.17,0.59,0.54,0.17,0,0,0
EasyOCR,1625-1649,5,0.74,0.74,0.00,0.94,0.94,0.01,0,0,0
OlmOCRv1,1650-1674,11,0.09,0.07,0.07,0.14,0.13,0.08,0,0,0
Kraken,1650-1674,11,0.09,0.04,0.09,0.20,0.15,0.12,0,0,0
OlmOCRv2,1650-1674,11,0.10,0.07,0.12,0.16,0.12,0.14,0,0,0
DeepSeek,1650-1674,11,0.12,0.10,0.07,0.23,0.19,0.08,0,0,0
MinerU,1650-1674,11,0.12,0.09,0.07,0.26,0.22,0.09,0,0,0
Tesseract,1650-1674,11,0.20,0.15,0.12,0.49,0.47,0.14,0,0,0
EasyOCR,1650-1674,11,0.51,0.65,0.25,0.78,0.90,0.18,0,0,0
OlmOCRv2,1675-1699,21,0.06,0.05,0.04,0.11,0.10,0.05,0,0,0
OlmOCRv1,1675-1699,21,0.06,0.05,0.04,0.11,0.11,0.05,0,0,0
Kraken,1675-1699,21,0.06,0.03,0.07,0.17,0.12,0.14,0,0,0
MinerU,1675-1699,21,0.12,0.09,0.12,0.24,0.21,0.13,0,0,0
DeepSeek,1675-1699,21,0.18,0.08,0.36,0.34,0.21,0.59,0,0,0
Tesseract,1675-1699,21,0.18,0.11,0.18,0.43,0.40,0.19,0,0,0
EasyOCR,1675-1699,21,0.53,0.71,0.24,0.78,0.92,0.20,0,0,0
Kraken,1700-1724,12,0.05,0.04,0.03,0.18,0.18,0.07,0,0,0
OlmOCRv2,1700-1724,12,0.06,0.04,0.05,0.11,0.09,0.07,0,0,0
MinerU,1700-1724,12,0.08,0.07,0.05,0.17,0.17,0.04,0,0,0
OlmOCRv1,1700-1724,12,0.09,0.04,0.12,0.14,0.09,0.12,0,0,0
DeepSeek,1700-1724,12,0.12,0.06,0.19,0.24,0.16,0.25,0,0,0
Tesseract,1700-1724,12,0.13,0.10,0.10,0.38,0.35,0.16,0,0,0
EasyOCR,1700-1724,12,0.42,0.27,0.26,0.69,0.63,0.24,0,0,0
OlmOCRv1,1725-1749,11,0.04,0.02,0.03,0.09,0.08,0.04,0,0,0
Kraken,1725-1749,12,0.06,0.02,0.06,0.14,0.10,0.08,0,0,0
OlmOCRv2,1725-1749,12,0.07,0.02,0.14,0.12,0.08,0.16,0,0,0
MinerU,1725-1749,12,0.09,0.04,0.08,0.20,0.16,0.09,0,0,0
