Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Document Year,Age Group
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.md,DeepSeek,0,0,0,0,0,0,0,0,1327,228,1,106,0,1,2,0,1,1,0,0,1803,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243_page_001.md,Tesseract,0.000754,0.008772,1,0,0,1,0,1,1327,228,0.990566,106,1,1,2,0,1,1,0,0,1803,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243_page_001.md,Kraken,0.004521,0.017544,0,4,2,0,2,2,1327,228,0.981132,106,2,1,2,0,1,1,0,0,1803,1800-1824
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.md,DeepSeek,0.00789,0.022951,0,12,0,0,3,4,1521,305,0.966667,180,6,0.978723,47,1,0,1,1,0,1800,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.md,OlmOCRv1,0.008289,0.026316,0,11,0,0,4,2,1327,228,0.962264,106,4,1,2,0,0,1,1,0,1803,1800-1824
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.md,OlmOCRv2,0.008289,0.026316,0,11,0,0,4,2,1327,228,0.962264,106,4,1,2,0,0,1,1,0,1803,1800-1824
Anonymous - 1752 - The art of making sugar_page_1.md,OlmOCRv1,0.009774,0.032895,5,16,5,0,5,10,2660,456,0.941909,241,14,0.928571,14,1,0.666667,3,1,0,1752,1750-1774
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230_page_001.md,Tesseract,0.006782,0.033058,4,1,4,3,0,5,1327,242,0.958333,120,5,1,6,0,1,9,0,0,1803,1800-1824
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.md,OlmOCRv2,0.008172,0.034871,5,27,8,0,13,18,4895,889,0.925714,350,26,0.910615,179,16,0,1,1,0,1744,1725-1749
Janssen - 1713 - General Maxims in Trade_page_26.md,OlmOCRv2,0.010959,0.035971,0,16,0,0,6,4,1460,278,0.92562,121,9,0.942308,52,3,0,1,1,0,1713,1700-1724
Priestley - 1788 - A sermon on the subject of the slave trade_page_29_page_001.md,Kraken,0.008451,0.037838,0,3,6,0,1,6,1065,185,0.925532,94,7,0.857143,7,1,0,1,1,0,1788,1775-1799
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21.md,OlmOCRv1,0.010907,0.038023,0,16,0,0,6,4,1467,263,0.925,120,9,0.946429,56,3,0,1,1,0,1739,1725-1749
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21.md,OlmOCRv2,0.010907,0.038023,0,16,0,0,6,4,1467,263,0.925,120,9,0.946429,56,3,0,1,1,0,1739,1725-1749
Anonymous - 1752 - The art of making sugar_page_1.md,OlmOCRv2,0.017293,0.039474,4,40,2,0,10,8,2660,456,0.937759,241,15,0.785714,14,3,0.666667,3,1,0,1752,1750-1774
Banks - 1699 - The unhappy favourite_page_37.md,OlmOCRv2,0.012808,0.041026,0,8,18,0,3,13,2030,390,0.927461,193,14,0.91358,81,7,0,1,1,0,1699,1675-1699
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.md,OlmOCRv1,0.010215,0.04162,6,32,12,1,14,22,4895,889,0.914286,350,30,0.882682,179,21,0,1,1,0,1744,1725-1749
Janssen - 1713 - General Maxims in Trade_page_26.md,OlmOCRv1,0.011644,0.043165,0,17,0,0,7,5,1460,278,0.917355,121,10,0.942308,52,3,0,1,1,0,1713,1700-1724
Janssen - 1713 - General Maxims in Trade_page_26.md,DeepSeek,0.013014,0.043165,0,16,3,0,6,6,1460,278,0.909091,121,11,0.942308,52,3,0,1,1,0,1713,1700-1724
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1_page_001.md",Tesseract,0.006579,0.045113,2,0,3,2,0,4,760,133,0.921875,64,5,0.857143,7,1,1,1,0,0,1793,1775-1799
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1_page_001.md",Kraken,0.011842,0.045113,0,3,6,0,0,6,760,133,0.90625,64,6,0.714286,7,2,0,1,1,0,1793,1775-1799
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230_page_001.md,Kraken,0.007536,0.045455,1,1,8,1,0,10,1327,242,0.916667,120,10,0.666667,6,2,1,9,0,0,1803,1800-1824
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,OlmOCRv1,0.014888,0.045752,5,4,3,0,2,5,806,153,0.90625,64,6,0.935484,31,2,0.6,5,2,0,1692,1675-1699
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.md,OlmOCRv2,0.017483,0.046729,1,19,0,0,6,4,1144,214,0.915888,107,9,0.906977,43,4,0,2,2,0,1746,1725-1749
Leslie - 1740 - A new and exact account of Jamaica_page_184.md,OlmOCRv2,0.009844,0.047619,2,10,0,2,4,5,1219,231,0.904348,115,11,0.923077,65,5,0.8,5,1,0,1740,1725-1749
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1.md,OlmOCRv2,0.012557,0.047872,0,18,7,0,10,8,1991,376,0.920904,177,14,0.893333,75,8,0.666667,3,1,0,1732,1725-1749
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211.md,OlmOCRv1,0.024096,0.047904,2,42,4,0,10,6,1992,334,0.923077,182,14,0.927711,83,6,0,1,1,0,1750,1750-1774
Gadbury - 1672 - The Jamaica Almanack_page_4.md,OlmOCRv1,0.02046,0.048101,11,33,4,1,8,10,2346,395,0.919048,210,17,0.889908,109,12,1,6,0,0,1672,1650-1674
Banks - 1699 - The unhappy favourite_page_37.md,OlmOCRv1,0.014286,0.048718,1,7,21,1,3,15,2030,390,0.911917,193,17,0.888889,81,9,0,1,1,0,1699,1675-1699
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.md,OlmOCRv1,0.013807,0.04918,0,18,3,0,6,9,1521,305,0.922222,180,14,0.978723,47,1,0,1,1,0,1800,1800-1824
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.md,OlmOCRv2,0.013807,0.04918,0,18,3,0,6,9,1521,305,0.922222,180,14,0.978723,47,1,0,1,1,0,1800,1800-1824
