Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3_page_001.md",Tesseract,0.647614,0.869767,313,306,1715,14,17,530,3604,645,-0.076677,313,337,0.101124,89,80,-3.000000,2,8,0.329062,0.088785,57,54,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2_page_001.md",Tesseract,0.131818,0.359580,123,31,136,30,8,99,2200,381,0.380711,197,122,0.368421,95,60,1.000000,0,0,0.422785,0.099256,40,40,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.md",Tesseract,0.191439,0.570175,146,178,405,28,49,313,3808,684,0.186352,381,310,0.256410,117,87,-6.666667,3,23,0.197582,0.144796,96,82,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102_page_001.md",Tesseract,0.175708,0.506329,138,65,95,23,25,112,1696,316,0.256098,164,122,0.289855,69,49,0.125000,8,7,0.303541,0.130573,41,32,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8_page_001.md,Tesseract,0.760228,1.030445,196,142,1260,30,1,409,2102,427,-0.504854,206,310,-0.227273,66,81,1.000000,0,0,0.049650,0.247807,113,102,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5_page_001.md,Tesseract,0.172881,0.557078,28,53,123,5,17,100,1180,219,0.019417,103,101,0.185185,27,22,-1.000000,1,2,0.178834,0.164251,34,30,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.md,Tesseract,0.085430,0.344262,87,10,49,34,6,65,1709,305,0.436242,149,84,0.576923,78,33,0.333333,6,4,0.484856,0.066066,22,22,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10_page_001.md",Tesseract,0.143206,0.429539,198,122,266,49,35,233,4092,738,0.229358,327,252,0.264151,159,117,-1.666667,3,8,0.355945,0.086436,65,63,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1_page_001.md,Tesseract,0.104672,0.305643,139,48,167,42,11,142,3382,638,0.456667,300,163,0.566879,157,68,0.071429,14,13,0.510183,0.061286,41,35,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122_page_001.md,Tesseract,0.760078,0.997423,346,162,1057,70,31,286,2059,388,-0.197044,203,243,-0.095238,63,69,-3.500000,2,9,0.273285,0.121780,52,51,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1_page_001.md,Tesseract,0.099256,0.313725,25,18,37,6,6,36,806,153,0.343750,64,42,0.451613,31,17,0.200000,5,4,0.466869,0.091503,14,14,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1_page_001.md,Tesseract,0.082960,0.306941,194,36,214,42,21,220,5352,922,0.445476,431,239,0.628571,245,91,-4.000000,1,5,0.457381,0.045599,43,40,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10_page_001.md",Tesseract,0.118023,0.377265,269,8,129,63,2,164,3440,607,0.315217,276,189,0.489796,98,50,0.750000,8,2,0.395830,0.104790,70,67,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.md",Tesseract,0.095470,0.304843,166,89,293,40,21,260,5740,1053,0.405117,469,279,0.537778,225,104,-0.600000,5,8,0.488390,0.064366,69,61,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31_page_001.md,Tesseract,0.149520,0.437695,218,65,246,39,19,223,3538,642,0.137324,284,245,0.252033,123,92,0.312500,16,11,0.335111,0.110272,73,70,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1_page_001.md,Tesseract,0.430362,0.707965,528,299,718,90,49,341,3590,678,0.084469,367,336,0.290210,286,203,0.470588,17,9,0.265361,0.147427,106,101,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50_page_001.md,Tesseract,0.151951,0.403657,274,114,204,68,28,191,3896,711,0.318885,323,220,0.285714,63,45,-4.000000,2,10,0.409514,0.066578,50,47,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73_page_001.md,Tesseract,0.076766,0.318182,31,13,69,16,5,70,1472,286,0.459259,135,73,0.666667,57,19,-4.000000,1,5,0.465172,0.101010,30,29,1704,1700-1724
