OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Chandra-Home,1600-1624,5,0.059356,0.050520,0.031167,0.127199,0.113664,0.047746,0.782401,0.789621,0.054981,0.025331,0.026128,0.007874
Chandra-Home,1625-1649,5,0.045453,0.019978,0.046176,0.122004,0.083721,0.094183,0.777819,0.819436,0.140955,0.021398,0.022130,0.005477
Chandra-Home,1650-1674,11,0.062838,0.043142,0.056121,0.097848,0.082707,0.064443,0.848129,0.891747,0.078811,0.024856,0.018913,0.019209
Chandra-Home,1675-1699,21,0.030801,0.017469,0.034976,0.067198,0.053012,0.039696,0.879225,0.904016,0.070419,0.024437,0.017350,0.016873
Chandra-Home,1700-1724,12,0.047550,0.029700,0.050001,0.064278,0.067287,0.036790,0.893948,0.886039,0.056358,0.018967,0.014719,0.014117
Chandra-Home,1725-1749,12,0.032334,0.015817,0.034812,0.076549,0.063297,0.065502,0.880652,0.907997,0.131834,0.026760,0.014088,0.039428
Chandra-Home,1750-1774,13,0.025804,0.020259,0.013297,0.085093,0.060680,0.055739,0.841126,0.888875,0.112272,0.023001,0.013333,0.024229
Chandra-Home,1775-1799,14,0.029399,0.012891,0.056536,0.056199,0.031619,0.074512,0.918959,0.953600,0.099380,0.012725,0.004573,0.027167
Chandra-Home,1800-1824,7,0.142658,0.005766,0.333805,0.086067,0.021186,0.158990,0.885908,0.963575,0.190988,0.005136,0.004464,0.004098
DeepSeek,1600-1624,5,0.214294,0.104884,0.240759,0.391329,0.302297,0.196326,0.398652,0.484546,0.175685,0.064748,0.071429,0.014559
DeepSeek,1625-1649,5,0.161685,0.098955,0.144405,0.333246,0.379518,0.160569,0.519687,0.461891,0.119075,0.062387,0.063348,0.019441
DeepSeek,1650-1674,11,0.098238,0.056882,0.076389,0.234848,0.191601,0.093426,0.606317,0.624762,0.100068,0.058040,0.055762,0.017922
DeepSeek,1675-1699,21,0.158063,0.044440,0.373626,0.328441,0.170996,0.610663,0.622889,0.655786,0.197354,0.043416,0.040084,0.027274
DeepSeek,1700-1724,12,0.105781,0.047494,0.198373,0.221129,0.158639,0.254480,0.686300,0.708166,0.246328,0.034768,0.033562,0.019009
DeepSeek,1725-1749,12,0.117461,0.020130,0.193200,0.195618,0.082109,0.236965,0.740774,0.847738,0.241193,0.039140,0.019710,0.063862
DeepSeek,1750-1774,13,0.048009,0.048793,0.010932,0.172850,0.183223,0.059657,0.665700,0.658879,0.117249,0.038716,0.039911,0.018881
DeepSeek,1775-1799,14,0.087979,0.025360,0.214149,0.626202,0.074802,1.942852,0.782754,0.880031,0.247095,0.075261,0.019036,0.209813
DeepSeek,1800-1824,7,0.188496,0.008609,0.299420,0.151201,0.033223,0.168283,0.804635,0.942095,0.200521,0.017859,0.010204,0.016308
EasyOCR,1600-1624,5,0.623816,0.808740,0.235958,0.884693,0.974359,0.131162,0.055004,0.023250,0.063264,0.090004,0.089820,0.021891
EasyOCR,1625-1649,5,0.783624,0.783992,0.014915,0.965689,0.960843,0.020104,0.087444,0.091802,0.049177,0.084622,0.086806,0.009573
EasyOCR,1650-1674,11,0.566202,0.668803,0.253056,0.834684,0.920918,0.191252,0.144452,0.152542,0.078400,0.099750,0.094545,0.018443
EasyOCR,1675-1699,21,0.590007,0.739473,0.236241,0.843448,0.968354,0.193075,0.187917,0.177970,0.100362,0.105962,0.100386,0.024852
EasyOCR,1700-1724,12,0.471536,0.333701,0.233149,0.744027,0.689216,0.214339,0.202001,0.148426,0.108378,0.108893,0.112280,0.023165
EasyOCR,1725-1749,12,0.312773,0.269263,0.144808,0.547694,0.496334,0.170742,0.335437,0.343698,0.097153,0.102522,0.104121,0.019803
EasyOCR,1750-1774,13,0.252049,0.253262,0.060485,0.537838,0.496568,0.117318,0.284767,0.307184,0.095585,0.091419,0.087866,0.016010
EasyOCR,1775-1799,14,0.251598,0.239914,0.057483,0.509985,0.523708,0.115575,0.340318,0.321579,0.109785,0.085886,0.082557,0.034643
EasyOCR,1800-1824,7,0.221141,0.201368,0.069827,0.392675,0.359813,0.121897,0.478218,0.492484,0.142364,0.078080,0.081967,0.022332
Gemini,1600-1624,5,0.108065,0.103261,0.041725,0.264073,0.242165,0.042999,0.548031,0.553064,0.025053,0.028260,0.025913,0.012774
Gemini,1625-1649,5,0.230971,0.075316,0.303260,0.353929,0.243976,0.261286,0.470809,0.562758,0.231589,0.029003,0.017544,0.022187
Gemini,1650-1674,11,0.110791,0.088453,0.054727,0.238478,0.241379,0.054334,0.600581,0.590252,0.048383,0.021070,0.019380,0.008954
Gemini,1675-1699,21,0.136943,0.092876,0.193546,0.264989,0.213115,0.173342,0.583851,0.609426,0.150950,0.035841,0.021021,0.047422
Gemini,1700-1724,12,0.072822,0.066643,0.018307,0.187040,0.193186,0.041212,0.661839,0.647229,0.064672,0.022464,0.018018,0.019112
Gemini,1725-1749,12,0.110799,0.105623,0.041077,0.240009,0.254630,0.050672,0.617915,0.601671,0.046608,0.032129,0.023752,0.022395
Gemini,1750-1774,13,0.091483,0.086538,0.026516,0.241693,0.225806,0.057649,0.578098,0.597748,0.087116,0.027866,0.029963,0.012688
Gemini,1775-1799,14,0.122736,0.112824,0.027776,0.297401,0.268930,0.076228,0.545577,0.556659,0.101632,0.039710,0.031336,0.024140
Gemini,1800-1824,7,0.109124,0.079743,0.073966,0.215743,0.142857,0.189071,0.739976,0.795439,0.180809,0.030360,0.028340,0.014502
