OCR System,Num Documents,Mean CER,Median CER,Std CER,Min CER,Max CER,Mean WER,Median WER,Std WER,Min WER,Max WER,Char Accuracy,Word Accuracy,Total Chars,Total Words,Total Char Errors,Total Word Errors,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Char Ins %,Char Del %,Char Sub %,Word Ins %,Word Del %,Word Sub %,Mean Significant Word Accuracy,Median Significant Word Accuracy,Std Significant Word Accuracy,Total Significant Words,Total Significant Word Errors,Mean Capitalized Word Accuracy,Median Capitalized Word Accuracy,Std Capitalized Word Accuracy,Total Capitalized Words,Total Capitalized Word Errors,Mean Number Group Accuracy,Median Number Group Accuracy,Std Number Group Accuracy,Total Number Groups,Total Number Group Errors,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Min BLEU Score,Max BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate,Min Hallucination Rate,Max Hallucination Rate,Total Hallucinated Words,Total Unique Hallucinated Words
Tesseract,100,0.167070,0.104039,0.183008,0.002264,0.978566,0.421468,0.372992,0.205059,0.017621,1.011737,0.832930,0.578532,225149,40058,40822,17515,10979,13392,16451,2476,2866,12173,26.89,32.81,40.30,14.14,16.36,69.50,0.327727,0.355558,0.245800,19613,13531,0.000000,0.000000,0.000000,7237,7237,-0.310346,0.000000,1.590792,558,431,0.396984,0.418674,0.172258,0.000000,0.969130,0.089739,0.080094,0.051484,0.008734,0.274510,3461,3201
Tesseract-Legacy,100,0.256217,0.205373,0.188239,0.018332,0.920000,0.518177,0.493199,0.222300,0.088785,1.057831,0.743783,0.481823,225149,40058,61563,21406,19490,11410,30663,3627,2375,15404,31.66,18.53,49.81,16.94,11.10,71.96,0.196907,0.245000,0.282294,19613,16094,0.000000,0.000000,0.000000,7237,7237,-5.157871,-1.833333,12.471544,558,1506,0.325008,0.331093,0.173903,0.000001,0.859597,0.109946,0.101666,0.053868,0.018868,0.350000,4568,4159
EasyOCR,100,0.434823,0.287111,0.279226,0.077253,0.981390,0.678827,0.661965,0.257789,0.193833,1.037954,0.565177,0.321173,225149,40058,114594,30216,21721,32691,60182,2793,5021,22402,18.95,28.53,52.52,9.24,16.62,74.14,0.042889,0.018682,0.283254,19613,20089,0.000000,0.000000,0.000000,7237,7237,-2.829026,-1.000000,5.046143,558,1107,0.230870,0.189384,0.167334,0.000000,0.696318,0.092149,0.086862,0.035655,0.025974,0.333333,3413,3174
Kraken,99,0.084946,0.046912,0.127719,0.005283,0.928349,0.197993,0.146907,0.159190,0.022026,1.000000,0.915054,0.802007,221980,39504,21801,8201,9671,4958,7172,2183,1088,4930,44.36,22.74,32.90,26.62,13.27,60.11,0.662991,0.730337,0.228088,19365,6887,0.000000,0.000000,0.000000,7218,7218,0.047117,0.333333,1.196247,555,413,0.711796,0.757773,0.161707,0.000000,0.965524,0.045614,0.042497,0.027591,0.000000,0.207506,1891,1795
Gemini,100,0.064826,0.038529,0.126063,0.000000,0.985989,0.201583,0.182568,0.127457,0.000000,0.992408,0.935174,0.798417,225149,40058,23438,9138,3335,14078,6025,920,2433,5785,14.23,60.06,25.71,10.07,26.63,63.31,0.646862,0.652776,0.137420,19613,7474,0.000000,0.000000,0.000000,7237,7237,0.885402,1.000000,0.297354,558,50,0.625087,0.627661,0.135709,0.000000,1.000000,0.019284,0.014973,0.025225,0.000000,0.235294,622,594
MinerU,100,0.082499,0.045646,0.113351,0.002471,0.863734,0.189499,0.155287,0.113475,0.010256,0.716374,0.917501,0.810501,225149,40058,20679,8354,6969,6299,7411,1184,1303,5867,33.70,30.46,35.84,14.17,15.60,70.23,0.674330,0.697521,0.165777,19613,7176,0.000000,0.000000,0.000000,7237,7237,-0.016535,0.500000,1.980503,558,464,0.662789,0.684964,0.141850,0.273342,0.986696,0.038163,0.028493,0.036414,0.000000,0.249688,1711,1223
OlmOCRv1,99,0.040939,0.015799,0.076840,0.003471,0.483805,0.077158,0.045267,0.098347,0.003436,0.587500,0.959061,0.922842,220808,39332,10675,3467,1740,7280,1655,333,1429,1705,16.30,68.20,15.50,9.60,41.22,49.18,0.892493,0.923077,0.104030,19268,2628,0.000000,0.000000,0.000000,7038,7038,0.310079,0.285714,0.589576,556,221,0.877993,0.915651,0.125908,0.297435,0.996558,0.016459,0.010000,0.018112,0.000000,0.075641,801,738
OlmOCRv2,100,0.044210,0.015649,0.111705,0.003787,0.898069,0.074753,0.040569,0.106596,0.006873,0.656250,0.955790,0.925247,225149,40058,11472,3456,3112,6055,2305,363,1216,1877,27.13,52.78,20.09,10.50,35.19,54.31,0.890236,0.934984,0.133184,19613,2611,0.000000,0.000000,0.000000,7237,7237,0.330368,0.400000,0.595290,558,201,0.886039,0.929844,0.117463,0.276762,0.992674,0.013263,0.008043,0.016738,0.000000,0.116379,632,575
Transkribus,100,0.117051,0.028230,0.217667,0.004527,0.775766,0.190678,0.094125,0.252660,0.021084,0.939528,0.882949,0.809322,225149,40058,36678,9602,9475,9660,17543,2645,2002,4955,25.83,26.34,47.83,27.55,20.85,51.60,0.738983,0.826740,0.265534,19613,6199,0.000000,0.000000,0.000000,7237,7237,0.600532,1.000000,0.747996,558,192,0.820483,0.857302,0.129522,0.046254,0.961088,0.031815,0.027773,0.019084,0.005637,0.113360,1234,1136
DeepSeek,100,0.109818,0.046150,0.183071,0.001330,0.869099,0.279514,0.170116,0.760481,0.007752,7.627907,0.890182,0.720486,225149,40058,27529,10255,7745,10228,9556,2101,1916,6238,28.13,37.15,34.71,20.49,18.68,60.83,0.621824,0.699695,0.579178,19613,8024,0.000000,0.000000,0.000000,7237,7237,0.480660,0.571429,0.627195,558,202,0.667945,0.682553,0.217685,0.000271,0.992156,0.048375,0.035021,0.085481,0.000000,0.831050,2321,1385
