Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words,Significant Word Accuracy,Total Significant Words,Significant Word Errors,Capitalized Word Accuracy,Total Capitalized Words,Capitalized Word Errors,Number Group Accuracy,Total Number Groups,Number Group Errors,BLEU Score,Hallucination Rate,Total Hallucinated Words,Unique Hallucinated Words,Document Year,Age Group
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.md",OlmOCR-Ensemble,0.015538,0.066667,4,28,24,1,6,36,3604,645,0.881789,313,37,0.898876,89,9,0.500000,2,1,0.850491,0.037500,24,23,1643,1625-1649
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.md",OlmOCR-Ensemble,0.009545,0.060367,8,10,3,6,1,16,2200,381,0.893401,197,21,0.873684,95,12,1.000000,0,0,0.877609,0.023316,9,9,1660,1650-1674
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53.md",OlmOCR-Ensemble,0.035977,0.108187,5,81,51,2,11,61,3808,684,0.818898,381,69,0.854701,117,17,-4.333333,3,16,0.783574,0.034074,23,21,1675,1675-1699
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.md",OlmOCR-Ensemble,0.096108,0.129747,3,158,2,0,28,13,1696,316,0.804878,164,32,0.681159,69,22,0.500000,8,4,0.808725,0.017361,5,5,1675,1675-1699
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.md,OlmOCR-Ensemble,0.063273,0.156909,13,44,76,2,8,57,2102,427,0.718447,206,58,0.515152,66,32,1.000000,0,0,0.690929,0.076010,32,30,1675,1675-1699
Anonymous - 1676 - Wonderful news from Bristol_page_5.md,OlmOCR-Ensemble,0.012712,0.050228,1,8,6,1,1,9,1180,219,0.902913,103,10,0.814815,27,5,0.000000,1,1,0.897775,0.027397,6,6,1676,1675-1699
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.md,OlmOCR-Ensemble,0.004096,0.016393,0,6,1,0,2,3,1709,305,0.973154,149,4,0.948718,78,4,0.833333,6,1,0.968604,0.006601,2,2,1677,1675-1699
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.md",OlmOCR-Ensemble,0.011975,0.036585,3,32,14,1,8,18,4092,738,0.929664,327,23,0.924528,159,12,0.000000,3,3,0.928599,0.010944,8,8,1680,1675-1699
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.md,OlmOCR-Ensemble,0.095506,0.219436,112,63,148,38,5,97,3382,638,0.663333,300,101,0.675159,157,51,1.000000,14,0,0.643264,0.037258,25,19,1682,1675-1699
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.md,OlmOCR-Ensemble,0.022827,0.064433,2,32,13,1,6,18,2059,388,0.891626,203,22,0.841270,63,10,0.000000,2,2,0.872408,0.028721,11,9,1690,1675-1699
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.md,OlmOCR-Ensemble,0.008685,0.045752,0,5,2,0,2,5,806,153,0.906250,64,6,0.935484,31,2,0.600000,5,2,0.905029,0.006623,1,1,1692,1675-1699
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.md,OlmOCR-Ensemble,0.038864,0.116052,34,68,106,8,5,94,5352,922,0.777262,431,96,0.714286,245,70,0.000000,1,1,0.777778,0.042162,39,36,1693,1675-1699
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10.md",OlmOCR-Ensemble,0.014244,0.049423,8,33,8,0,7,23,3440,607,0.894928,276,29,0.867347,98,13,0.625000,8,3,0.891037,0.023333,14,14,1693,1675-1699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.md",OlmOCR-Ensemble,0.009756,0.030389,2,38,16,0,10,22,5740,1053,0.942431,469,27,0.911111,225,20,0.400000,5,3,0.938311,0.004794,5,4,1695,1675-1699
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31.md,OlmOCR-Ensemble,0.016393,0.068536,12,36,10,1,11,32,3538,642,0.873239,284,36,0.853659,123,18,0.750000,16,4,0.864895,0.007911,5,5,1700,1700-1724
Anonymous - 1700 - Directions for Sugar Plums_page_1.md,OlmOCR-Ensemble,0.477437,0.489676,4,1698,12,0,311,21,3590,678,0.455041,367,200,0.472028,286,151,0.764706,17,4,0.374719,0.019074,7,7,1700,1700-1724
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.md,OlmOCR-Ensemble,0.017454,0.042194,3,55,10,1,12,17,3896,711,0.928793,323,23,0.841270,63,10,0.000000,2,2,0.920504,0.012857,9,9,1700,1700-1724
Anonymous - 1704 - Female Policy Detected_page_73.md,OlmOCR-Ensemble,0.029891,0.069930,12,28,4,0,4,16,1472,286,0.851852,135,20,0.859649,57,8,0.000000,1,1,0.853838,0.053191,15,15,1704,1700-1724
