Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3_page_001.xml",EasyOCR,0.749516,0.938650,313,365,2033,0,64,548,3617,652
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2_page_001.xml",EasyOCR,0.268535,0.674419,214,146,234,37,29,195,2212,387
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.xml",EasyOCR,0.733909,0.955137,330,479,1996,11,71,578,3822,691
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102_page_001.xml",EasyOCR,0.779731,0.959502,128,160,1043,0,28,280,1707,321
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8_page_001.xml,EasyOCR,0.793643,1.041860,240,149,1284,28,0,420,2108,430
Anonymous - 1676 - Wonderful news from Bristol_page_5_page_001.xml,EasyOCR,0.282718,0.640000,95,124,118,13,31,100,1192,225
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.xml,EasyOCR,0.161534,0.440514,88,97,93,22,23,92,1721,311
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10_page_001.xml",EasyOCR,0.768649,0.971736,675,588,1890,21,11,690,4102,743
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1_page_001.xml,EasyOCR,0.361062,0.596573,400,414,410,79,80,224,3390,642
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122_page_001.xml,EasyOCR,0.734360,0.939698,353,289,884,19,11,344,2078,398
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1_page_001.xml,EasyOCR,0.110422,0.385621,14,38,37,3,9,47,806,153
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1_page_001.xml,EasyOCR,0.389884,0.685405,517,633,939,74,154,406,5358,925
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10_page_001.xml",EasyOCR,0.768340,0.972818,547,393,1846,62,42,576,3626,699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2_page_001.xml",EasyOCR,0.718002,0.924015,566,517,3057,75,57,853,5766,1066
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31_page_001.xml,EasyOCR,0.756863,0.971125,330,478,1894,2,35,602,3570,658
Anonymous - 1700 - Directions for Sugar Plums_page_1_page_001.xml,EasyOCR,0.776294,0.985294,331,349,2110,4,6,660,3594,680
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50_page_001.xml,EasyOCR,0.755034,0.969739,455,464,2043,13,25,667,3923,727
Anonymous - 1704 - Female Policy Detected_page_73_page_001.xml,EasyOCR,0.262162,0.641379,86,102,200,25,13,148,1480,290
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1_page_001.xml,EasyOCR,0.192912,0.390710,177,136,117,30,27,86,2229,366
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1_page_001.xml",EasyOCR,0.613232,0.906103,607,564,998,84,71,424,3537,639
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19_page_001.xml,EasyOCR,0.228679,0.614634,82,79,83,16,23,87,1067,205
Anonymous - 1721 - The unhappy voyage_page_1_page_001.xml,EasyOCR,0.714833,0.949686,536,436,2763,24,7,875,5225,954
Anonymous - 1726 - The State of the Island of Jamaica_page_41_page_001.xml,EasyOCR,0.350888,0.720280,316,108,149,69,23,114,1633,286
Anonymous - 1728 - Some observations on the Assiento Trade_page_22_page_001.xml,EasyOCR,0.216337,0.551532,170,129,138,42,18,138,2020,359
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2_page_001.xml,EasyOCR,0.722261,0.964481,966,889,1289,30,19,657,4353,732
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1_page_001.xml,EasyOCR,0.099548,0.274667,67,57,74,15,12,76,1989,375
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25_page_001.xml,EasyOCR,0.170973,0.351931,87,77,61,20,12,50,1316,233
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118_page_001.xml",EasyOCR,0.234708,0.472195,553,391,399,124,72,288,5722,1025
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6_page_001.xml,EasyOCR,0.157572,0.381060,288,262,221,68,44,226,4893,887
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41_page_001.xml,EasyOCR,0.256993,0.420561,126,131,37,24,26,40,1144,214
Anonymous - 1752 - The art of making sugar_page_1_page_001.xml,EasyOCR,0.233835,0.585526,162,204,256,34,29,204,2660,456
Anonymous - 1753 - An accurate description of the cacao-tree_page_2_page_001.xml,EasyOCR,0.225641,0.570743,124,163,197,25,39,174,2145,417
Anonymous - 1757 - The Jamaica Association Develop'd_page_14_page_001.xml,EasyOCR,0.103448,0.342222,44,37,57,11,6,60,1334,225
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1_page_001.xml,EasyOCR,0.157729,0.378947,75,101,74,14,12,82,1585,285
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64_page_001.xml,EasyOCR,0.123697,0.342105,56,51,71,18,7,66,1439,266
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7_page_001.xml",EasyOCR,0.147443,0.388027,140,134,121,30,26,119,2679,451
