author,year,title,source,ocr_status
A. S.,1697,"The husbandman, farmer and grasier's compleat instructor. Containing choice and approved rules, and",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Abbot,1623,"Iesus præfigured, or, A poëme of the holy name of Iesus in five bookes.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Abbot,1636,"A briefe description of the whole world Wherein is particularly described all the monarchies, empire",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Adams,1664,A brief relation of the surprizing several English merchants goods by Dvtch men of warre their carry,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Almond,1673,"The English horsman and complete farrier directing all gentlemen and others how to breed, feed, ride",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Ambrose,1650,The doctrine & directions but more especially the practice and behavior of a man in the act of the n,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Amy,1682,"Carolina, or, A description of the present state of that country and the natural excellencies thereo",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Amyas,1659,"An antidote against melancholy. Or, A treasury of 53. rare secrets & arts discovered, by an expert a",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anderson,1661,"Katherin Alderson, widdow of the disceased James Alderson, barber chirurgion I live in the parish of",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1612,London tryacle being the enemie to all infectious diseases; as may appear by the discourse following,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1612,"The Christian life and death of Mistris Katherin Brettergh, late wife of Master VVilliam Brettergh,",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1613,A true declaration of the arriuall of Cornelius Haga (with others that accompanied him) ambassadour,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1614,"A Pleasant song, made by a souldier whose bringing vp had bin dainty, and partly fed by those affect",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1614,The rimers nevv trimming to the tune of In sommer time.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1615,"A description of the prosperitie, strength, and wise gouernment of the vnited Prouinces of the Nethe",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1615,Catascopos A surveigh and critique censure of the Christian world.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1615,Nevves of the Netherlands Relating the whole state of those countries at this present.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
