Q#,Tier,Mean,Stdev,Min,Max
1,T1 Factual,13.571428571428571,3.4572215654165053,9,19
2,T1 Factual,18.142857142857142,3.38765264987284,13,24
3,T1 Factual,16.428571428571427,3.5523298860110977,13,22
4,T1 Factual,15.285714285714286,3.592319850008056,10,20
5,T2 Temporal,15.285714285714286,2.563479777846623,12,18
6,T2 Temporal,15.714285714285714,2.0586634591635513,13,18
7,T2 Temporal,16.857142857142858,2.5448360411214073,14,21
8,T2 Temporal,13.625,3.2486260832190936,9,19
9,T2 Temporal,13.75,4.131758532565592,7,20
10,T2 Temporal,10.625,3.2043497223082786,8,17
11,T3 Relational,15.875,3.6030740843261686,10,21
12,T3 Relational,14.375,1.5979898086569353,12,17
13,T3 Relational,14.625,2.559994419636775,12,19
14,T3 Relational,14.125,2.356601669474803,11,18
15,T3 Relational,14.25,2.3754698783308417,11,17
16,T3 Relational,16.5,4.0,12,23
17,T3 Relational,11.5,4.105745103771404,7,18
18,T3 Relational,10.125,1.1259916264596033,8,11
19,T4 Analytical,15.375,3.1594529363709247,11,21
20,T4 Analytical,13.375,2.38671920665766,10,16
21,T4 Analytical,12,4.566962103755937,8,21
22,T4 Analytical,13.75,2.49284690951645,10,17
23,T4 Analytical,13,2.7255405754769875,9,16
24,T4 Analytical,13.875,2.295181287579947,11,17
25,T4 Analytical,13.25,5.035587637718447,9,22
26,T4 Analytical,12.625,2.615202805574687,10,16
27,T5 Interpretive,15.625,2.669269563007828,12,20
28,T5 Interpretive,14.375,3.1594529363709247,10,19
29,T5 Interpretive,13,4.342481186734475,7,18
30,T5 Interpretive,12.125,4.155461122770509,9,20
